year_of_manufacture,manufacturer,model,mileage,body_type,transmission,drivetrain,exterior_colour,interior_colour,passengers,doors,fuel_type,price,city_consumption,highway_consumption,engine_displacement_L,engine_cylinders,engine_type
2020,Subaru,Ascent,56921.0,SUV,CVT,4X4,blue,black,5,4,gasoline,42988,11.6,9.0,2.4,4.0,Inline
2019,Subaru,Impreza,28000.0,Sedan,Manual,4X4,white,black,5,4,gasoline,46888,10.8,8.7,2.4,4.0,Inline
2022,Subaru,WRX,8400.0,Sedan,Manual,4X4,gray,black,5,4,gasoline,47000,10.8,8.7,2.4,4.0,Inline
2019,Subaru,WRX,23000.0,Sedan,Manual,4X4,silver,black,5,4,gasoline,47999,10.8,8.7,2.4,4.0,Inline
2021,Subaru,WRX,26000.0,Sedan,Manual,4X4,blue,black,5,4,gasoline,51999,10.8,8.7,2.4,4.0,Inline
2016,Subaru,Crosstrek,90.0,SUV,CVT,4X4,black,black,5,4,gasoline,12999,9.1,7.0,2.0,4.0,Other
2018,Tesla,Model,106870.0,Sedan,Automatic,RWD,gray,black,5,4,electric,43988,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,86603.0,Sedan,Automatic,4X4,gray,black,5,4,electric,52395,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,52800.0,Sedan,Automatic,4X4,red,black,5,4,electric,69777,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,79000.0,Sedan,Automatic,4X4,white,black,5,4,electric,60000,0.0,8.7,2.4,0.0,Electric
2018,Tesla,Model,46000.0,Sedan,Automatic,4X4,black,black,5,4,electric,89000,0.0,8.7,2.4,0.0,Electric
2021,Tesla,Model,7250.0,Sedan,Automatic,4X4,blue,black,5,4,electric,160000,0.0,8.7,2.4,0.0,Electric
2022,Tesla,Model,100.0,SUV,Automatic,4X4,white,black,5,4,electric,164250,0.0,8.7,2.4,0.0,Electric
2021,Tesla,Model,24534.0,Sedan,Automatic,4X4,gray,white,5,4,electric,51995,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,3732.0,Sedan,Automatic,4X4,white,black,5,4,electric,54995,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,70160.0,Sedan,Automatic,RWD,black,black,5,4,electric,40989,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,53575.0,Sedan,Automatic,RWD,red,black,5,4,electric,42998,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,107082.0,Sedan,Automatic,RWD,silver,black,5,4,electric,43595,0.0,8.7,0.0,0.0,Electric
2018,Tesla,Model,106870.0,Sedan,Automatic,RWD,gray,black,5,4,electric,43988,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,90.0,SUV,Automatic,4X4,white,black,5,4,electric,64990,0.0,8.7,2.4,0.0,Electric
2019,Tesla,Model,61033.0,Sedan,Automatic,RWD,blue,black,5,4,electric,44495,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,18079.0,Sedan,Automatic,4X4,white,black,5,4,electric,44998,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,65790.0,Sedan,Automatic,RWD,white,black,5,4,electric,46000,0.0,8.7,0.0,0.0,Electric
2015,Tesla,Model,121553.0,Hatchback,Automatic,4X4,red,black,5,4,electric,46910,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,46288.0,Sedan,Automatic,RWD,blue,black,5,4,electric,48777,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,41506.0,Sedan,Automatic,RWD,gray,black,5,4,electric,48995,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,30315.0,Sedan,Automatic,4X4,gray,black,5,4,electric,49348,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,32107.0,Sedan,Automatic,RWD,gray,white,5,4,electric,49888,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,15005.0,Sedan,Automatic,RWD,black,black,5,4,electric,49998,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,16430.0,Sedan,Automatic,RWD,white,black,5,4,electric,54995,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,7289.0,Sedan,Automatic,RWD,gray,black,5,4,electric,50998,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,86603.0,Sedan,Automatic,4X4,gray,black,5,4,electric,52395,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,14057.0,Sedan,Automatic,4X4,white,black,5,4,electric,52395,0.0,8.7,0.0,0.0,Electric
2015,Tesla,Model,118909.0,Sedan,Automatic,4X4,gray,black,5,4,electric,52888,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,46200.0,Sedan,Automatic,4X4,other,black,5,4,electric,53495,0.0,8.7,0.0,0.0,Electric
2016,Tesla,Model,109076.0,Hatchback,Automatic,4X4,black,black,5,4,electric,53910,0.0,8.7,0.0,0.0,Electric
2018,Tesla,Model,56000.0,Sedan,Automatic,4X4,black,black,5,4,electric,56990,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,118784.0,SUV,Automatic,4X4,white,black,5,4,electric,57500,0.0,8.7,0.0,0.0,Electric
2017,Tesla,Model,138000.0,Hatchback,Automatic,4X4,black,black,5,2,electric,57711,0.0,8.7,2.4,0.0,Electric
2022,Tesla,Model,4200.0,Hatchback,Automatic,4X4,white,black,5,4,electric,129900,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,69753.0,Sedan,Automatic,4X4,black,black,5,4,electric,58900,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,15521.0,Sedan,Automatic,4X4,black,black,5,4,electric,59600,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,8676.0,Sedan,Automatic,4X4,gray,black,5,4,electric,61985,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,61228.0,Sedan,Automatic,4X4,gray,black,5,4,electric,61990,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,7860.0,Sedan,Automatic,4X4,blue,black,5,2,electric,62980,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,90.0,Sedan,Automatic,4X4,white,black,5,4,electric,62990,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,47500.0,Sedan,Automatic,4X4,white,black,5,4,electric,66755,0.0,8.7,0.0,0.0,Electric
2016,Tesla,Model,137888.0,Wagon,Automatic,4X4,blue,beige,5,4,electric,67790,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,26451.0,Sedan,Automatic,4X4,white,black,5,4,electric,68910,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,15005.0,Sedan,Automatic,RWD,black,black,5,4,electric,49998,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,13241.0,SUV,Automatic,4X4,black,black,5,4,electric,68985,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,52800.0,Sedan,Automatic,4X4,red,black,5,4,electric,69777,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,2117.0,Sedan,Automatic,4X4,gray,black,5,4,electric,69858,0.0,8.7,0.0,0.0,Electric
2016,Tesla,Model,81094.0,SUV,Automatic,4X4,white,black,7,4,electric,69888,0.0,8.7,0.0,0.0,Electric
2018,Tesla,Model,122513.0,SUV,Automatic,4X4,white,black,7,4,electric,69910,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,39469.0,SUV,Automatic,4X4,white,black,5,4,electric,69950,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,10302.0,Sedan,Automatic,4X4,red,black,5,4,electric,69999,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,7566.0,Sedan,Automatic,4X4,gray,black,5,4,electric,69999,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,11680.0,Sedan,Automatic,4X4,blue,black,5,4,electric,70335,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,26277.0,Sedan,Automatic,4X4,white,black,5,4,electric,55000,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,118.0,Sedan,Automatic,4X4,white,black,5,4,electric,70995,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,21820.0,Sedan,Automatic,4X4,white,white,5,4,electric,72245,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,38845.0,SUV,Automatic,4X4,gray,black,5,4,electric,72800,0.0,8.7,0.0,0.0,Electric
2016,Tesla,Model,98097.0,SUV,Automatic,4X4,white,black,7,4,electric,72910,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,90.0,Sedan,Automatic,4X4,black,black,5,4,electric,73995,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,42895.0,SUV,Automatic,4X4,white,black,5,4,electric,74950,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,22388.0,SUV,Automatic,4X4,gray,black,5,4,electric,74976,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,17613.0,SUV,Automatic,4X4,white,white,7,4,electric,75015,0.0,8.7,0.0,0.0,Electric
2017,Tesla,Model,122000.0,SUV,Automatic,4X4,gray,beige,5,4,electric,75899,0.0,8.7,0.0,0.0,Electric
2015,Tesla,Model,69810.0,Sedan,Automatic,4X4,black,black,5,4,electric,51000,0.0,8.7,0.0,0.0,Electric
2017,Tesla,Model,136398.0,SUV,Automatic,4X4,silver,black,5,4,electric,75998,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,25000.0,SUV,Automatic,4X4,white,black,5,4,electric,76000,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,14099.0,SUV,Automatic,4X4,white,gray,5,4,electric,76577,0.0,8.7,0.0,0.0,Electric
2017,Tesla,Model,73560.0,SUV,Automatic,4X4,red,black,5,4,electric,76688,0.0,8.7,0.0,0.0,Electric
2018,Tesla,Model,88200.0,Hatchback,Automatic,4X4,black,black,5,4,electric,77777,0.0,8.7,0.0,0.0,Electric
2016,Tesla,Model,76584.0,SUV,Automatic,4X4,black,black,5,4,electric,77800,0.0,8.7,0.0,0.0,Electric
2018,Tesla,Model,77738.0,Sedan,Automatic,4X4,black,black,5,4,electric,77888,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,7938.0,SUV,Automatic,4X4,white,black,5,4,electric,77888,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,8888.0,SUV,Automatic,4X4,white,black,5,4,electric,77950,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,17613.0,SUV,Automatic,4X4,white,white,7,4,electric,75015,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,10116.0,SUV,Automatic,4X4,silver,black,5,2,electric,77999,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,10150.0,SUV,Automatic,4X4,blue,white,5,4,electric,78950,0.0,8.7,0.0,0.0,Electric
2018,Tesla,Model,182380.0,SUV,Automatic,4X4,red,brown,7,4,electric,79888,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,1639.0,SUV,Automatic,4X4,white,black,5,4,electric,79950,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,6100.0,SUV,Automatic,4X4,white,black,5,4,electric,79950,0.0,8.7,0.0,0.0,Electric
2016,Tesla,Model,71400.0,SUV,Automatic,4X4,silver,beige,6,4,electric,81777,0.0,8.7,0.0,0.0,Electric
2018,Tesla,Model,46201.0,SUV,Automatic,4X4,black,black,5,4,electric,83888,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,25.0,SUV,Automatic,4X4,white,black,5,4,electric,85024,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,25.0,SUV,Automatic,4X4,white,white,7,4,electric,85888,0.0,8.7,2.4,0.0,Electric
2021,Tesla,Model,7795.0,Sedan,Automatic,RWD,white,black,5,4,electric,51888,0.0,8.7,0.0,0.0,Electric
2018,Tesla,Model,38200.0,Sedan,Automatic,4X4,white,black,5,4,electric,87777,0.0,8.7,0.0,0.0,Electric
2017,Tesla,Model,45000.0,SUV,Automatic,4X4,white,black,6,4,electric,88888,0.0,8.7,0.0,0.0,Electric
2016,Tesla,Model,46500.0,SUV,Automatic,4X4,red,black,7,4,electric,89777,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,90.0,SUV,Automatic,4X4,black,black,7,4,electric,95995,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,55800.0,SUV,Automatic,4X4,black,black,7,4,electric,97777,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,55688.0,SUV,Automatic,4X4,gray,black,5,4,electric,98500,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,30.0,SUV,Automatic,4X4,black,black,5,4,electric,102995,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,40000.0,SUV,Automatic,4X4,white,black,7,4,electric,108888,0.0,8.7,0.0,0.0,Electric
2017,Tesla,Model,75005.0,SUV,Automatic,4X4,white,black,5,4,electric,109800,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,66088.0,SUV,Automatic,4X4,red,white,6,4,electric,87950,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,59338.0,SUV,Automatic,4X4,gray,white,5,4,electric,115910,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,65700.0,SUV,Automatic,4X4,black,black,6,4,electric,124995,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,62904.0,SUV,Automatic,4X4,black,black,6,4,electric,129910,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,472.0,Sedan,Automatic,4X4,white,black,5,4,electric,139994,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,130.0,SUV,Automatic,4X4,white,black,5,4,electric,145769,0.0,8.7,2.4,0.0,Electric
2022,Tesla,Model,12296.0,SUV,Automatic,4X4,white,white,7,4,electric,147655,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,36500.0,SUV,Automatic,4X4,white,white,5,4,electric,148888,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,16862.0,Sedan,Automatic,4X4,white,white,5,4,electric,149000,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,14177.0,SUV,Automatic,4X4,black,beige,5,4,electric,152995,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,142.0,SUV,Automatic,4X4,white,black,5,4,electric,77995,0.0,8.7,2.4,0.0,Electric
2022,Tesla,Model,16868.0,SUV,Automatic,4X4,black,black,5,4,electric,169888,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,50.0,SUV,CVT,4X4,black,black,6,4,electric,189999,0.0,8.7,0.0,0.0,Electric
2015,Tesla,Model,91196.0,Hatchback,Automatic,4X4,black,gray,5,4,electric,33998,0.0,8.7,0.0,0.0,Electric
2015,Tesla,Model,118000.0,Sedan,Automatic,4X4,gray,black,5,4,electric,35000,0.0,8.7,2.4,0.0,Electric
2020,Tesla,Model,63835.0,Sedan,Automatic,4X4,white,black,5,2,electric,41999,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,45189.0,Sedan,Automatic,RWD,white,black,5,4,electric,42887,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,88219.0,Sedan,Automatic,RWD,white,black,5,4,electric,45999,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,20776.0,Sedan,Automatic,RWD,black,black,5,4,electric,50997,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,79000.0,Sedan,Automatic,4X4,white,black,5,4,electric,60000,0.0,8.7,2.4,0.0,Electric
2017,Tesla,Model,73560.0,SUV,Automatic,4X4,red,black,5,4,electric,76688,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,32000.0,SUV,Automatic,4X4,white,black,5,4,electric,64999,0.0,8.7,0.0,0.0,Electric
2017,Tesla,Model,72540.0,Sedan,Automatic,4X4,blue,black,5,4,electric,70000,0.0,8.7,2.4,0.0,Electric
2022,Tesla,Model,6371.0,SUV,Automatic,4X4,silver,black,7,4,electric,74995,0.0,8.7,0.0,0.0,Electric
2017,Tesla,Model,76000.0,SUV,Automatic,4X4,black,black,5,4,electric,76000,0.0,8.7,2.4,0.0,Electric
2022,Tesla,Model,16557.0,SUV,Automatic,4X4,white,black,5,4,electric,77888,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,29.0,Sedan,CVT,4X4,white,black,5,4,electric,78888,0.0,8.7,0.0,0.0,Electric
2018,Tesla,Model,106870.0,Sedan,Automatic,RWD,gray,black,5,4,electric,43988,0.0,8.7,0.0,0.0,Electric
2018,Tesla,Model,88200.0,Hatchback,Automatic,4X4,black,black,5,4,electric,77777,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,10116.0,SUV,Automatic,4X4,silver,black,5,2,electric,77999,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,25.0,SUV,Automatic,4X4,white,white,7,4,electric,85888,0.0,8.7,2.4,0.0,Electric
2019,Tesla,Model,55800.0,SUV,Automatic,4X4,black,black,7,4,electric,97777,0.0,8.7,0.0,0.0,Electric
2015,Tesla,Model,118000.0,Sedan,Automatic,4X4,gray,black,5,4,electric,35000,0.0,8.7,2.4,0.0,Electric
2020,Tesla,Model,79000.0,Sedan,Automatic,4X4,white,black,5,4,electric,60000,0.0,8.7,2.4,0.0,Electric
2019,Tesla,Model,74358.0,SUV,Automatic,4X4,black,black,5,4,electric,79000,0.0,8.7,2.4,0.0,Electric
2021,Tesla,Model,24534.0,Sedan,Automatic,4X4,gray,white,5,4,electric,51995,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,74358.0,SUV,Automatic,4X4,black,black,5,4,electric,79000,0.0,8.7,2.4,0.0,Electric
2018,Tesla,Model,46000.0,Sedan,Automatic,4X4,black,black,5,4,electric,89000,0.0,8.7,2.4,0.0,Electric
2021,Tesla,Model,7250.0,Sedan,Automatic,4X4,blue,black,5,4,electric,160000,0.0,8.7,2.4,0.0,Electric
2014,Tesla,Model,145385.0,Sedan,Automatic,RWD,black,black,5,4,electric,31995,0.0,8.7,0.0,0.0,Electric
2015,Tesla,Model,69810.0,Sedan,Automatic,4X4,black,black,5,4,electric,51000,0.0,8.7,0.0,0.0,Electric
2014,Tesla,Model,70279.0,Sedan,Automatic,RWD,gray,black,5,4,electric,34900,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,82000.0,Sedan,Automatic,RWD,white,black,5,4,electric,38995,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,97910.0,Sedan,Automatic,RWD,black,black,5,4,electric,39980,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,51922.0,Sedan,Automatic,RWD,black,black,5,4,electric,39995,0.0,8.7,0.0,0.0,Electric
2013,Tesla,Model,190000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,39995,10.8,8.7,2.4,4.0,Inline
2016,Tesla,Model,353450.0,Sedan,Automatic,4X4,red,brown,5,4,electric,39999,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,79931.0,Sedan,CVT,RWD,white,black,5,4,electric,40980,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,106000.0,Sedan,Automatic,RWD,gray,black,5,4,electric,41888,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,47000.0,Sedan,Automatic,RWD,blue,black,5,4,electric,42490,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,7795.0,Sedan,Automatic,RWD,white,black,5,4,electric,51888,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,87988.0,Sedan,Automatic,RWD,white,black,5,4,electric,42888,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,79887.0,Sedan,Automatic,4X4,white,black,5,4,electric,46980,0.0,8.7,0.0,0.0,Electric
2018,Tesla,Model,86229.0,Sedan,Automatic,4X4,white,black,5,4,electric,46995,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,65774.0,Sedan,Automatic,RWD,black,black,5,4,electric,47160,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,44601.0,Sedan,Automatic,RWD,black,black,5,4,electric,47800,0.0,8.7,0.0,0.0,Electric
2016,Tesla,Model,78000.0,Sedan,Automatic,4X4,blue,brown,5,4,electric,47888,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,91544.0,Sedan,Automatic,RWD,black,black,5,4,electric,48995,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,22467.0,Sedan,Automatic,RWD,gray,white,5,4,electric,49950,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,13200.0,Sedan,Automatic,4X4,blue,black,5,4,electric,49985,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,4200.0,Hatchback,Automatic,4X4,white,black,5,4,electric,129900,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,25842.0,Sedan,Automatic,4X4,gray,black,5,4,electric,49995,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,24534.0,Sedan,Automatic,4X4,gray,white,5,4,electric,51995,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,27000.0,Sedan,Automatic,RWD,black,black,5,4,electric,52999,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,67.0,Sedan,Automatic,4X4,white,white,5,4,electric,54895,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,53960.0,Sedan,Automatic,4X4,black,black,5,4,electric,54987,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,8578.0,Sedan,Automatic,4X4,white,black,5,4,electric,54995,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,3732.0,Sedan,Automatic,4X4,white,black,5,4,electric,54995,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,50000.0,Sedan,CVT,4X4,white,black,5,4,electric,55900,0.0,8.7,2.4,0.0,Electric
2016,Tesla,Model,133908.0,Hatchback,Automatic,4X4,black,black,5,4,electric,56888,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,26277.0,Sedan,Automatic,4X4,white,black,5,4,electric,55000,0.0,8.7,0.0,0.0,Electric
2023,Tesla,Model,3471.0,Sedan,Automatic,RWD,gray,black,5,4,electric,57998,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,22879.0,Sedan,Automatic,4X4,white,black,5,4,electric,58995,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,3094.0,Sedan,Automatic,RWD,white,black,5,4,electric,58999,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,56746.0,Sedan,Automatic,RWD,black,black,5,4,electric,59480,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,61000.0,Sedan,CVT,RWD,gray,black,5,4,electric,59900,0.0,8.7,0.0,0.0,Electric
2016,Tesla,Model,156809.0,SUV,Automatic,4X4,brown,brown,6,4,electric,59999,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,32000.0,SUV,Automatic,4X4,white,black,7,4,electric,61995,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,26000.0,SUV,Automatic,RWD,white,black,5,4,electric,62878,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,29175.0,SUV,Automatic,4X4,black,black,5,2,electric,62900,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,66088.0,SUV,Automatic,4X4,red,white,6,4,electric,87950,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,36510.0,Sedan,Automatic,4X4,white,white,5,4,electric,63836,0.0,8.7,0.0,0.0,Electric
2020,Tesla,Model,31024.0,Sedan,Automatic,RWD,white,black,5,4,electric,63880,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,924.0,Sedan,Automatic,RWD,white,black,5,4,electric,63999,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,19900.0,SUV,Automatic,RWD,black,black,5,4,electric,64878,0.0,8.7,0.0,0.0,Electric
2015,Tesla,Model,87000.0,Sedan,Automatic,4X4,black,black,7,4,electric,64995,0.0,8.7,0.0,0.0,Electric
2016,Tesla,Model,35242.0,Sedan,Automatic,4X4,gray,gray,5,4,electric,64995,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,44910.0,Sedan,Automatic,4X4,blue,white,5,4,electric,64999,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,11021.0,Sedan,Automatic,4X4,black,black,5,4,electric,66990,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,54000.0,Sedan,CVT,4X4,blue,black,5,4,electric,67900,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,50.0,SUV,CVT,4X4,black,black,6,4,electric,189999,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,84.0,Sedan,Automatic,4X4,white,black,5,4,electric,67995,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,10125.0,SUV,Automatic,4X4,black,white,5,4,electric,68888,0.0,8.7,0.0,0.0,Electric
2016,Tesla,Model,157635.0,Wagon,Automatic,4X4,silver,black,6,4,electric,68995,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,10700.0,Sedan,Automatic,RWD,gray,black,5,4,electric,69995,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,49002.0,SUV,Automatic,4X4,red,black,5,4,electric,69995,0.0,8.7,0.0,0.0,Electric
2016,Tesla,Model,113000.0,Wagon,Automatic,4X4,white,white,5,4,electric,69998,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,6362.0,Sedan,Automatic,4X4,gray,black,5,4,electric,72895,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,7339.0,Sedan,Automatic,4X4,white,black,5,4,electric,73000,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,30000.0,Hatchback,CVT,4X4,white,black,5,4,electric,74900,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,142.0,SUV,Automatic,4X4,white,black,5,4,electric,77995,0.0,8.7,2.4,0.0,Electric
2022,Tesla,Model,17750.0,SUV,Automatic,RWD,white,black,5,4,electric,74999,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,93.0,Sedan,Automatic,4X4,white,black,5,4,electric,75000,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,1258.0,SUV,Automatic,4X4,white,white,5,4,electric,75880,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,36.0,SUV,Automatic,4X4,white,black,5,4,electric,75900,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,11.0,Sedan,Automatic,4X4,white,black,5,4,electric,75989,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,13.0,Sedan,Automatic,4X4,white,black,5,4,electric,75989,0.0,8.7,0.0,0.0,Electric
2023,Tesla,Model,30.0,SUV,Automatic,4X4,white,black,5,4,electric,76290,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,18484.0,SUV,Automatic,4X4,blue,black,5,4,electric,77000,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,19448.0,Sedan,Automatic,4X4,black,white,5,4,electric,77000,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,17613.0,SUV,Automatic,4X4,white,white,7,4,electric,75015,0.0,8.7,0.0,0.0,Electric
2018,Tesla,Model,62521.0,Sedan,Automatic,4X4,silver,black,5,4,electric,79777,0.0,8.7,0.0,0.0,Electric
2018,Tesla,Model,136317.0,Sedan,Automatic,4X4,white,beige,5,4,electric,79897,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,25001.0,SUV,Automatic,4X4,white,black,7,4,electric,79995,0.0,8.7,0.0,0.0,Electric
2022,Tesla,Model,157.0,SUV,Automatic,4X4,black,black,5,4,electric,81990,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,92866.0,SUV,Automatic,4X4,white,black,6,4,electric,82800,0.0,8.7,0.0,0.0,Electric
2021,Tesla,Model,8996.0,SUV,Automatic,RWD,white,black,5,4,electric,84480,0.0,8.7,0.0,0.0,Electric
2019,Tesla,Model,98000.0,SUV,Automatic,4X4,white,black,5,4,electric,85900,0.0,8.7,0.0,0.0,Electric
