year_of_manufacture,manufacturer,model,mileage,body_type,transmission,drivetrain,exterior_colour,interior_colour,passengers,doors,fuel_type,price,city_consumption,highway_consumption,engine_displacement_L,engine_cylinders,engine_type
2020,Acura,MDX,65684.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,40995,12.3,9.2,3.5,6.0,V-Engine
2020,Acura,RDX,59380.0,SUV,Automatic,4X4,white,black,5,4,gasoline,42994,11.0,8.6,2.4,4.0,Inline
2021,Acura,TLX,38897.0,Sedan,Automatic,4X4,black,beige,5,4,gasoline,41394,11.2,8.0,2.0,4.0,Inline
2020,Acura,RDX,35473.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,41990,11.3,9.1,2.4,4.0,Inline
2020,Acura,RDX,56139.0,SUV,Automatic,4X4,white,red,5,4,gasoline,42588,11.3,9.1,2.4,4.0,Inline
2020,Acura,RDX,48368.0,SUV,Automatic,4X4,white,brown,5,4,gasoline,42588,11.0,8.6,2.4,4.0,Inline
2020,Acura,RDX,44502.0,SUV,Automatic,4X4,black,black,5,4,gasoline,42599,11.3,9.1,2.0,4.0,Inline
2019,Acura,MDX,65060.0,SUV,Automatic,4X4,white,red,7,4,gasoline,42888,12.2,9.25,2.4,6.0,V-Engine
2020,Acura,TLX,12980.0,Sedan,Automatic,4X4,white,red,5,4,gasoline,42888,11.7,7.949999999999999,2.4,6.0,V-Engine
2020,Acura,RDX,42017.0,SUV,Automatic,4X4,black,black,5,4,gasoline,42990,11.0,8.6,2.4,4.0,Inline
2020,Acura,RDX,59380.0,SUV,Automatic,4X4,white,black,5,4,gasoline,42994,11.0,8.6,2.4,4.0,Inline
2021,Acura,RDX,58742.0,SUV,Automatic,4X4,white,black,5,4,gasoline,43495,11.3,9.1,2.0,4.0,Inline
2021,Acura,RDX,58742.0,SUV,Automatic,4X4,white,black,5,4,gasoline,43495,11.3,9.1,2.0,4.0,Inline
2020,Acura,MDX,80754.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,43770,12.2,9.5,3.5,6.0,V-Engine
2019,Acura,MDX,53052.0,SUV,Automatic,4X4,black,red,5,4,gasoline,43880,12.2,9.25,2.4,6.0,V-Engine
2020,Acura,MDX,57590.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,43997,12.2,9.5,2.4,6.0,V-Engine
2021,Acura,RDX,44337.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,44295,11.3,9.1,2.0,4.0,Inline
2020,Acura,RDX,50702.0,SUV,Automatic,4X4,white,black,5,4,gasoline,44599,11.0,8.6,2.4,4.0,Inline
2021,Acura,TLX,21448.0,Sedan,Automatic,4X4,white,brown,5,4,gasoline,44995,11.2,8.0,2.0,4.0,Inline
2021,Acura,RDX,32479.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,45295,11.3,9.1,2.0,4.0,Inline
2020,Acura,RDX,25873.0,SUV,Automatic,4X4,silver,red,5,4,gasoline,45995,11.3,9.1,2.4,4.0,Inline
2021,Acura,RDX,32479.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,45295,11.3,9.1,2.0,4.0,Inline
2021,Acura,RDX,67950.0,SUV,Automatic,4X4,blue,red,5,4,gasoline,46989,11.3,9.1,2.4,4.0,Inline
2021,Acura,TLX,29704.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,47099,11.2,8.0,2.0,4.0,Inline
2021,Acura,RDX,33413.0,SUV,Automatic,4X4,black,red,5,4,gasoline,47588,11.3,9.1,2.4,4.0,Inline
2022,Acura,TLX,12209.0,Sedan,Automatic,4X4,silver,red,5,4,gasoline,50188,11.3,8.1,2.4,4.0,Inline
2022,Acura,RDX,29776.0,SUV,Automatic,4X4,white,black,5,4,gasoline,52795,11.3,9.1,2.0,4.0,Inline
2021,Acura,TLX,29841.0,Sedan,Automatic,4X4,white,red,5,4,gasoline,55995,12.3,9.8,3.0,6.0,V-Engine
2022,Acura,MDX,31000.0,SUV,Automatic,4X4,black,red,7,4,gasoline,60899,12.6,9.4,3.5,4.0,Other
2022,Acura,MDX,32865.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,62599,12.6,9.4,2.4,6.0,V-Engine
2013,Acura,RDX,267187.0,SUV,Automatic,4X4,white,black,5,4,gasoline,10795,9.8,6.2,3.5,6.0,V-Engine
2019,Acura,MDX,53052.0,SUV,Automatic,4X4,black,red,5,4,gasoline,43880,12.2,9.25,2.4,6.0,V-Engine
2014,Acura,RDX,209511.0,SUV,Automatic,4X4,black,black,5,4,gasoline,13588,10.7,7.3,2.4,6.0,V-Engine
2011,Acura,MDX,161202.0,SUV,Automatic,4X4,white,beige,7,4,gasoline,13985,13.2,9.6,2.4,6.0,V-Engine
2013,Acura,MDX,223000.0,SUV,Automatic,4X4,black,black,7,4,gasoline,13999,13.2,9.6,2.4,6.0,Inline
2014,Acura,TL,136541.0,Sedan,Automatic,FWD,silver,black,5,4,gasoline,16900,10.4,6.8,2.4,6.0,Inline
2014,Acura,RDX,158868.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,17998,10.7,7.3,3.5,4.0,Other
2015,Acura,RDX,172000.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,17999,12.1,8.7,2.4,6.0,Inline
2019,Acura,TLX,58610.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,28495,10.0,7.1,2.4,4.0,Inline
2019,Acura,RDX,75786.0,SUV,Automatic,4X4,white,black,5,4,gasoline,38388,11.3,9.1,2.4,4.0,Inline
2019,Acura,RDX,33032.0,SUV,Automatic,4X4,white,black,5,4,gasoline,40888,11.0,8.6,2.0,4.0,Inline
2021,Acura,RDX,44337.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,44295,11.3,9.1,2.0,4.0,Inline
2019,Acura,TLX,34396.0,Sedan,Automatic,4X4,black,brown,5,4,gasoline,36499,11.4,7.7,3.5,6.0,Inline
2019,Acura,ILX,41116.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,29995,9.9,7.0,2.4,4.0,Inline
2020,Acura,TLX,31756.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,39836,12.0,8.2,3.5,6.0,V-Engine
2014,Acura,RDX,290000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,11600,10.8,8.7,2.4,4.0,Inline
2019,Acura,RDX,110024.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,34995,11.0,8.6,2.0,4.0,Inline
2015,Acura,TLX,137835.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,19450,11.2,7.5,2.4,6.0,V-Engine
2016,Acura,ILX,76836.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,19890,9.4,6.5,2.4,4.0,Inline
2016,Acura,TLX,117699.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,21995,9.6,6.6,2.4,4.0,Inline
2018,Acura,ILX,104000.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,22950,9.4,6.8,2.4,4.0,Inline
2020,Acura,TLX,52337.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,39799,12.0,8.2,2.4,6.0,V-Engine
